,weak-synoptic,weak-syn-afternoon-rainfall,CWVatDongsha,CWVatNETW,WSatBanqiao,WSatNETW,CrossStraitUatNWTW,UatNETW,swUatDongSha,swUatDongShaNaN,sUatNETW,sUatNETWNaN,swDEPTHatNETW,MSEatNETW,swLAYERatSWTW,IVTatDongSha,IVTatDongShaNaN,LeeVortex,CAPEatNETW,CRHatNETW,deltaCWVatTW,deltaLTSatSWTW,zetaatETW,seUatETW,year,month,day
0,0,0,56.28483323,47.89925954,3.506869842,28.27776218,9.033317036,3.206895637,2.808924748,0,6.636636279,0,0,334052.421,0.111111111,157.0651131,0,-6.96E-05,669.0566546,0.804851341,1.528938586,-0.376508227,-1,-1,1996,5,1
0,0,0,46.48340379,45.93115012,7.90956297,23.10177244,3.991848138,5.184969933,0,1,4.390522396,0,0,333852.6515,0,0,1,-1.41E-05,182.641121,0.816784524,-1.428620579,0.313091949,1,-1,1996,5,2
0,1,0,48.99446208,41.19842612,4.214201614,32.90834024,6.265342042,4.089224896,1.064515476,0,6.385360235,0,0,333356.4984,0,0,1,-7.52E-05,0,0.556927643,-3.453460855,1.750547718,1,1,1996,5,3
0,0,0,49.20970614,50.96187119,5.060551137,11.38115336,13.97234362,8.39077183,5.142892368,0,10.43177384,0,0.298488015,336923.2974,0,233.5275283,0,2.40E-05,343.2698147,0.737211679,9.009765779,1.452552256,1,-1,1996,5,4
0,0,0,51.71265759,49.73836628,13.24293926,25.84331268,5.769021647,12.4926559,7.732325075,0,0,1,0,328899.4366,0,345.7479262,0,6.96E-06,0.063004548,0.954199514,1.829088757,-0.162189573,-1,-1,1996,5,5
0,0,0,47.95698079,45.58123746,5.701005043,24.08084952,10.21808406,4.082404007,7.189600113,0,6.356565962,0,0,331362.0887,0.666666667,318.3442567,0,-3.08E-05,0,0.769233745,4.017157927,0.876076806,1,-1,1996,5,6
0,0,0,48.86812625,54.34067425,6.321136802,19.89367053,14.36085881,10.11006306,11.54585359,0,9.461462667,0,0.475114297,338139.4904,0.666666667,470.3212265,0,3.00E-05,114.7239324,0.813145979,10.33158548,0.427332403,1,-1,1996,5,7
0,0,0,58.21272976,47.12435767,16.55496424,25.10347071,9.606740599,12.83311521,8.78930655,0,0,1,0,328428.6225,0,409.1522226,0,3.51E-05,0,0.869858706,1.267408364,2.177474433,-1,-1,1996,5,8
0,1,1,54.35504301,32.52038612,22.98719248,30.62784395,6.380297228,6.27870859,3.567885009,0,6.603657435,0,0,315493.2213,0.111111111,0,1,-4.22E-05,0,0.669258953,-11.72582981,1.181496396,-1,-1,1996,5,9
0,0,0,60.68759842,43.69632636,12.2668863,23.61985937,10.70781215,5.6706121,0,1,8.09508229,0,0,325114.0085,0.333333333,0,1,-0.00010805,0,0.835567951,2.199745228,1.489063426,1,-1,1996,5,10
0,0,0,54.98814286,53.203906,5.690257456,9.525753472,7.862729721,4.786115898,1.233742201,0,5.823566972,0,0,336243.4377,0.777777778,118.8491837,0,-2.17E-06,0,0.882161884,7.467895571,1.236958687,-1,-1,1996,5,11
0,1,0,49.7007868,44.42538903,12.75254114,19.83361941,4.769787051,9.984115785,0,1,4.337444633,0,0,328114.0511,0,0,1,2.43E-05,0,0.837495884,-7.099336288,2.857156676,-1,-1,1996,5,12
0,1,0,50.32065056,34.67443019,7.688344923,19.25609628,4.143571813,6.753554898,0,1,5.459461698,0,0,326900.5437,0,0,1,-6.77E-05,0,0.493419805,-11.16959057,2.45006287,-1,-1,1996,5,13
0,1,1,45.25423932,38.30449535,4.692896269,17.26964645,1.280873906,6.169674732,0,1,5.731475406,0,0,328630.0522,0,0,1,-5.50E-05,0,0.521349228,-7.814868252,3.142096828,-1,-1,1996,5,14
0,1,1,46.81291927,43.35177844,9.241916871,27.5600842,0.360337344,7.298112783,0,1,7.34038952,0,0,330432.0964,0,0,1,-7.44E-05,2.140086668,0.640122605,-4.49561337,2.356052736,-1,-1,1996,5,15
0,0,0,43.95667647,45.1297082,9.137939277,23.4931976,-0.385097988,11.58639161,0,1,2.822818997,0,0,333227.5724,0,0,1,-5.87E-05,0.126414718,0.723147617,-3.19657348,2.817660636,-1,-1,1996,5,16
0,0,0,35.88873361,35.00179898,8.857409849,28.84164883,2.979703091,10.95211158,0,1,0,1,0,327615.5167,0,0,1,3.93E-06,3.644413552,0.537150158,-12.88690393,3.733623382,-1,-1,1996,5,17
0,1,0,39.32966101,22.90726336,7.285914862,27.65777572,0.623352091,7.514373271,0,1,0,1,0,318136.9719,0,0,1,4.32E-06,0,0.283261762,-20.72310308,2.732919468,-1,-1,1996,5,18
0,1,0,39.08654735,32.65620172,3.821800753,26.73228521,2.342585954,4.743481601,0,1,5.024687809,0,0,323404.2062,0.222222222,0,1,-5.42E-05,0,0.489106378,-11.56759886,3.500372555,1,1,1996,5,19
0,0,0,56.49953803,40.00532309,2.870635331,29.6274821,5.025064664,5.278299243,0,1,4.540356081,0,0,330176.8619,0.777777778,0,1,-2.18E-05,0,0.625303354,-5.028329827,1.517560068,1,-1,1996,5,20
0,0,0,62.49114239,48.13261095,7.442245504,39.17863196,3.433476907,7.24060936,0,1,6.673798058,0,0,331046.0458,0.777777778,0,1,-1.62E-05,5.695714628,0.762131831,1.503387993,1.352445867,1,-1,1996,5,21
0,0,0,51.96882817,47.48625889,12.03539192,32.07323987,4.318281207,6.205241692,0,1,6.920962069,0,0,330593.488,0.222222222,0,1,-4.97E-05,0,0.805405793,-2.988849065,4.169737978,1,-1,1996,5,22
0,0,0,34.50626488,56.27158878,16.68341395,36.5756332,4.968122839,12.61157359,0,1,11.38606345,0,0,335142.1373,0,0,1,-7.22E-05,0,0.94655896,2.756305315,2.729123457,1,-1,1996,5,23
