    P[hPa]       T[K]   Qv[g/kg]     U[m/s]     V[m/s]
 1000.0000   300.1050    19.1860       -4.5        3.6
  975.0000   298.0721    18.8824       -4.8        3.9
  950.0000   296.8914    18.1978       -4.7        3.7
  925.0000   295.7911    17.3806       -5.1        3.5
  900.0000   294.6455    16.4220       -5.9        3.6
  875.0000   293.3692    15.5836       -6.8        3.8
  850.0000   292.0831    14.8302       -7.3        3.7
  825.0000   290.7956    14.1181       -7.5        3.6
  800.0000   289.5980    13.4295       -7.6        3.5
  775.0000   288.3319    12.6702       -7.6        3.3
  750.0000   287.0648    11.7225       -7.6        3.1
  700.0000   284.3892     9.5221       -7.6        2.4
  650.0000   281.2899     7.4493       -7.3        1.6
  600.0000   277.9001     5.4141       -7.0        0.6
  550.0000   274.1021     4.4933       -6.9       -0.5
  500.0000   270.3651     2.5152       -7.3       -0.6
  450.0000   265.7404     1.1147       -7.6       -1.4
  400.0000   259.8046     0.7413       -6.2       -2.1
  350.0000   252.9022     0.5634       -6.1       -2.5
  300.0000   244.7222     0.2426       -2.3       -2.8
  250.0000   234.6384     0.1155        2.9       -2.8
  225.0000   229.5376     0.1591        6.8       -2.1
  200.0000   223.1170     0.0941        8.5       -1.3
  175.0000   215.4171     0.0408        7.9       -3.9
  150.0000   207.7601     0.0193        6.9       -8.9
  125.0000   201.1466     0.0076       -0.4       -6.9
  100.0000   197.6058     0.0039      -10.2       -5.8
   70.0000   201.3845     0.0027      -20.7       -4.7
   50.0000   211.9790     0.0027      -21.8        2.6
   30.0000   218.1354     0.0028      -24.5        0.1
   20.0000   222.8963     0.0029      -25.5        0.2
   10.0000   230.0217     0.0030      -27.2        0.4
    7.0000   235.8322     0.0030      -29.1       -0.8
    5.0000   244.1374     0.0031      -32.2        1.5
    3.0000   255.0633     0.0033      -31.1       -2.7
    2.0000   259.6919     0.0035      -33.6       -1.1
    1.0000   261.2738     0.0037      -41.4       -1.6
