    P[hPa]       T[K]   Qv[g/kg]     U[m/s]     V[m/s] 
 1008.0000   299.2500    17.4078    -0.0000    -0.1000
 1000.0000   298.6500    16.9152    -0.1364    -0.1463
  925.0000   295.0500    16.4828     2.6529     1.7894
  919.3000   295.1500    15.5674     2.3461     1.7046
  850.0000   292.4500    13.3478    -2.4864     0.7602
  841.8000   291.7500    13.0526    -2.7168     0.6774
  783.1000   288.6500    10.4717    -3.4979     1.4848
  709.4000   286.2500     6.8848    -2.5529     0.8790
  700.0000   285.3500     7.2188    -2.5529     0.8790
  563.6000   274.2500     4.0009    -2.8191     1.0261
  551.0000   273.1500     3.7087    -3.1876     0.8541
  500.0000   268.5500     2.8532    -2.5605     1.3615
  401.2000   258.3500     1.3553    -2.1879    -0.2300
  400.0000   258.1500     1.3374    -2.2874    -0.2404
  300.9000   242.5500     0.5654    -4.2798    -1.3906
  300.0000   242.4500     0.5618    -4.3494    -1.4976
  254.4000   234.7500     0.0000    -7.1709    -5.6025
  250.0000   233.7500     0.0000    -7.7468    -5.8376
  200.0000   220.7500     0.0000    -7.3879    -9.4561
  150.0000   207.4500     0.0000    -7.0534    -9.7082
  109.3000   198.0500     0.0000    -9.3584    -8.1351
  102.5000   196.2500     0.0000   -10.5288    -7.1017
  100.0000   197.0500     0.0000   -11.9575    -7.4719
   94.2000   198.3500     0.0000   -13.6324    -6.9461
   70.0000   204.4500     0.0000   -14.4448    -1.2638
   65.1000   207.7500     0.0000   -13.8810    -0.7275
   50.0000   210.4500     0.0000   -16.7974     0.2932
   48.5000   210.0500     0.0000   -17.4973     0.3054
   41.7000   210.1500     0.0000   -21.0871    -0.7364
   35.8000   216.9500     0.0000   -23.1965     0.4049
   30.0000   218.6500     0.0000   -16.1384     1.4119
   24.5000   219.4500     0.0000   -23.2432    -1.6253
   20.0000   223.3500     0.0000   -23.5425     1.6463
   19.9000   223.0500     0.0000   -23.5102     2.0569
   17.7000   229.1500     0.0000   -19.7910     2.0801
